TransactionId;PolicyNumber;ProposalNumber;Proses;AgentCd;productCd;CreatedDate
81ddc328-57ee-4d1b-aca5-efe53c515aa0;13249221;200277522;TUP;1005487;U4D;29/06/2021 13:50
;;;;;;
