"PolicyNumber";"ProposalNumber";"Proses";"AgentCd";"productCd";"CreatedDate";"TransactionId"
"13249221";"200277522";TUP;"01005487";U4D;2021-05-31 12:08:11;"771c6714-114b-4564-885e-2b36438345e5"
"12055727";"9000011288";TUP;"01003838";U2Z;2021-05-28 12:56:18;"1e3ef2fb-07c5-49e1-b683-8997e523bb0d"
"13253079";"200277537";TUP;"01004479";U4D;2021-05-28 12:53:46;"1ea501e9-603a-4d3e-a0d4-897a4938430e"
"13254628";"200277538";TUP;"01004479";U4D;2021-05-28 09:43:41;e3c11e2a-44e6-4d57-9aee-569feb0f992f
"13528058";"200284690";TUP;"01005487";U4K;2021-05-27 12:00:38;"9e77d394-840e-4fbf-a365-e92531c83f59"
"13367384";"200289811";TUP;"01004755";U4K;2021-05-27 11:17:29;"321935ac-c9b6-46e4-bbda-120daca0e78c"
"13367373";"200289829";TUP;"01004755";U4K;2021-05-27 11:16:10;"097e4e9b-2a77-43b1-99a4-0a89e6627203"
"13367366";"200289812";TUP;"01004755";U4K;2021-05-27 11:14:26;"73a769fb-81cf-4779-86a5-8c4646d3211d"
"13367299";"200289830";TUP;"01004755";U4K;2021-05-27 11:13:01;"3a4f88b4-3e9f-440f-bcd0-ef89b531ed11"
"13674715";"9700164654";TUP;"01005487";U4K;2021-05-25 14:28:12;ad4eb12e-3a73-43fb-bdd8-8894f1ebe158
"13606114";"9700153868";TUP;"01005681";U2N;2021-05-25 13:00:55;"7a7ee02d-8600-42f8-8e86-914728c68f8a"
"53971811";"58572195";SWI;"01005528";U2K;2021-05-21 13:16:43;"945c5d54-466b-4d34-8e6f-b075eb9e742e"
"13666905";"9700159069";TUP;"01004479";U4K;2021-05-20 10:15:51;e1c3194f-f447-44a4-9bf9-ffc24b03bb85
"13367384";"200289811";TUP;"01004755";U4K;2021-05-19 13:25:42;"627eb048-fccb-4902-b9c9-c31b320d962b"
"13367373";"200289829";TUP;"01004755";U4K;2021-05-19 13:23:13;a35692d3-11df-4621-87b9-a8e8d1e8116c
"13367366";"200289812";TUP;"01004755";U4K;2021-05-19 13:20:06;dbc8264c-f4ee-49e3-a509-3ca939050e09
"13367299";"200289830";TUP;"01004755";U4K;2021-05-19 13:16:51;ecfbbe5a-c8ed-4740-bceb-66284566ee7e
"13671366";"200300269";TUP;"01004755";U4K;2021-05-19 12:48:39;"5156406e-40de-460c-8be7-7a01ea9cf5f4"
"12309148";"9000041917";SWI;"01005555";U2Z;2021-05-19 12:22:49;cac4e902-96b4-48e5-bbbf-94902c36dd84
"13606114";"9700153868";TUP;"01005681";U2N;2021-05-19 09:18:09;"7457752f-588e-4942-a699-7326de2f218a"
"13671366";"200300269";TUP;"01004755";U4K;2021-05-18 12:07:14;"7d6abef1-fbb9-4172-a6b9-bb0a57ac9109"
"13317998";"9000148981";TUP;"01004755";U4K;2021-05-17 12:06:41;"7001b8c2-9bb7-46b6-9f25-e88f6c5e7e76"
"13255189";"9000148368";TUP;"01004324";U4K;2021-05-17 12:01:49;b147afac-e011-44f0-95b6-3d0baf27a3ad
"12934520";"9000145626";SWI;"01003666";U2Z;2021-05-07 10:34:21;b7026f0f-701f-4b6b-a474-0daafe35fa0d
